name,activation,target,area,duration,range,savetype,onsave,school,description,level,icon
ENCOURAGING ROAR,swift,Allies,,One round,30-ft.,,,Golden Lion (Boost),"The disciple lets out shouts of encouragement to
bolster his allies in battle. All allies within 30-ft. of the
Golden Lion disciple gain a +2 morale bonus to attack
and damage rolls for one round.",1,icons/svg/pawprint.svg
HUNTING PARTY,standard,One creature and one adjacent ally,,1 round,Melee attack,,,Golden Lion (Strike),"When two or more soldiers converge on a single
target, the odds of victory increase and the disciple
with the knowledge of this strike can assist his
comrades potential lethality. When this strike is
initiated, a successful melee attack may grant one
adjacent ally who is attacking the same target an
attack of opportunity against that target.",1,icons/svg/pawprint.svg
PRIDE MOVEMENT,swift,One adjacent ally,,Instant,,,,Golden Lion (Boost),"By having a watchful eye on the flow of combat,
the disciple knows when to spur an ally into a better
position. As a swift action, the initiator may grant a
move action to an adjacent ally. This ally may then
use this move action immediately to move up to his
base speed, as if it were a free action taken on the
initiators turn.",1,icons/svg/pawprint.svg
TACTICAL STRIKE,standard,One creature,,Instant,Melee attack; 10-ft.,,,Golden Lion (Strike),"Any commander knows that in battle, footwork is
key. By utilizing this theory, the Golden Lion disciple
helps his comrades to understand this. The disciple
makes a melee attack against a foe; if successful, any
ally he designates within 10-ft. of his position may
make an immediate free 10-ft. movement without
provoking attacks of opportunity.",1,icons/svg/pawprint.svg
CALL TO ACTION,standard,One creature,,Instant,Melee attack,,,Golden Lion (Strike),"With a mighty blow, the disciple aids an ally
by providing an opening in combat to move by
an opponent. The initiator makes a melee attack,
inflicting an additional 2d6 points of damage and
granting an adjacent ally an immediate move action.",2,icons/svg/pawprint.svg
DEFENDING THE PRIDE,swift,Allies,,One round,60-ft.,,,Golden Lion (Boost),"With a cry to defend themselves from incoming
attacks, the inspirational words of the disciple aid his
allies in their defense. As a swift action, the initiator
grants all allies within 60-ft. a +4 morale bonus to
their AC for one round.",2,icons/svg/pawprint.svg
DISTRACTING STRIKE,standard,One creature,,Until targets next turn,Any attack,,,Golden Lion (Strike),"By attracting the attentions of a foe with a wellplaced and vicious blow, the disciple of the Golden
Lion may distract and weaken his foe to the predations
of his allies. Upon a successful attack when using this
strike, the initiator inflicts an additional 2d6 points
of damage and the target creature is left flat-footed
until its next turn. Creatures immune to critical hits
are not left flat-footed.",2,icons/svg/pawprint.svg
PYRITE STRIKE,standard,One creature,,Instant,Melee attack,,,Golden Lion (Strike),"With a powerful strike, the Golden Lion disciple
pushes his foe into the waiting arms of his allies and
their hungry blades. The initiator makes a melee attack
that inflicts an additional 1d6 points of damage and
forces his foe to make a 5-ft. movement (of the initiators
choice) from the square he is currently occupying. If the
target is incapable of movement, then the target simply
takes the damage as normal. This movement provokes
attacks of opportunity to all those capable of making
them against the target except for the initiator of this
maneuver.",2,icons/svg/pawprint.svg
WARNING ROAR,immediate,One allied creature,,Instant,60-ft.,,,Golden Lion (Counter),"Witnessing a clear and present danger to an ally,
the disciple shouts out a well-timed warning and aids
his ally in defending against an attack. The initiator
makes a Diplomacy check opposing an opponents
attack roll made on an ally. If successful then the
attack is negated.",2,icons/svg/pawprint.svg
CIRCLING THE PREY,swift,Allies,,Instant,60-ft.,,,Golden Lion (Boost),"With practiced precision and a quick shout, the
disciple and his allies move in unison for better
strategic advantage. The initiators shout grants
himself and his allies a free 5-ft. step that must be
taken when this boost is used.",3,icons/svg/pawprint.svg
KILL THE WOUNDED,standard,One creature,,One round,Any attack,,,Golden Lion (Strike),"The Golden Lion disciple makes a ferocious assault
on his foe, opening the enemys defenses to the attacks
of his allies. The initiator makes a melee attack against
a foe and if successful, subsequent attacks made by
the initiators allies inflict an additional 2d6 points of
damage per successful attack until the initiators next
turn.",3,icons/svg/pawprint.svg
PACK POUNCE,standard,One creature,,Instant,Melee attack,,,Golden Lion (Strike),"By capitalizing on the opportunities granted by
the presence of his allies who are attacking his foe,
the lethality of the Golden Lion disciple increases
dramatically due to his knowledge of pack tactics. The
initiator must be attacking a target that one or more
of his allies are also adjacent to, and upon successfully
attacking a qualifying target, the initiator receives a
+5 circumstance bonus to damage rolls against that
target per ally (to a maximum of an additional 15
points of damage for three allies.)",3,icons/svg/pawprint.svg
CHARGE OF THE BATTLE CAT,full,One creature,,Instant,Melee attack,Reflex,partial,Golden Lion (Strike),"Saving Throw: Reflex partial
Like the charge of the mighty lion as he takes his
prey to the ground, the Golden Lion disciple charges
into battle, heedless of his enemies, to crash into his
chosen foe with a mighty strike, knocking him to
the ground at his feet. The initiator makes a charge
attack, inflicting an additional 4d6 points of damage.
Additionally, the foe must make a Reflex save (DC
equal to 14 + initiation modifier) or be knocked prone
from the strike.",4,icons/svg/pawprint.svg
DIRECT THE PRIDE,swift,One creature,,Instant,Adjacent ally,,,Golden Lion (Boost),"Cooperation and teamwork form the backbone of
tactical warfare, and through his knowledge of all of
these things, the Golden Lion disciple may help direct
the actions of his ally to greater effectiveness. As a
swift action, the initiator targets an adjacent ally who
has not yet acted this turn. That initiator may now
act immediately following the Golden Lion disciples
action as if his initiative result was one lower than
the disciple. The following round, the target of this
boost returns to his previous initiative result.",4,icons/svg/pawprint.svg
GOLDEN SWIPE,standard,One creature,,Instant,Melee attack,,,Golden Lion (Strike),"With a series of furious blows against his foe, the
Golden Lion disciple batters his opponent into the
waiting blades of his allies. The initiator makes a
melee attack, inflicting an additional 6d6 points of
damage and forcing his foe to make a 10-ft. movement
(if the target is capable of moving) from the square he
is currently occupying in a direction of his choosing.
If the target is incapable of movement, then the target
simply takes the damage as normal. This movement
provokes attacks of opportunity to all those capable
of making them against the target except for the
initiator of this maneuver.",4,icons/svg/pawprint.svg
DISCIPLINE OF THE PRIDE,swift,Any ally within range,,Three rounds,30-ft.,,,Golden Lion (Boost),"Through training with his allies, the disciple has
taught them the basics of his military skill that they
may call upon in times of duress. As a swift action,
the initiator may grant one of his combat feats to any
of his allies within 30-ft. for 3 rounds. No initiator can
benefit from this ability more than once at a time.",5,icons/svg/pawprint.svg
GUARD THE PRIDE,immediate,One ally,,1 round,Adjacent ally,,,Golden Lion (Counter),"By trusting the awareness of the celestial realm, the
discipline trusts in his heavenly sense of the battle
around him to see where the next attack is coming
and move away from danger. As an immediate action,
the initiator grants a circumstance bonus to the target
adjacent allys Armor Class for one round equal to
half the disciples initiator level.",5,icons/svg/pawprint.svg
ROAR OF BATTLE,standard,One creature,,One round,Any attack,,,Golden Lion (Strike),"The Golden Lion disciple delivers a telling blow,
shattering bones and piercing defenses alike as
he presses the foe into opening vital places for his
allies to gain purchase. The initiator makes an attack
inflicting an additional 6d6 points of damage. Allies
who attack the target of this maneuver inflict an
additional 3d6 points of damage on successful attacks
for one round.",5,icons/svg/pawprint.svg
STRATEGIC BLOW,standard,One creature,,Instant,Melee attack,,,Golden Lion (Strike),"With a tremendous strike, the disciple confuses the
enemy and creates an opening for an ally to reposition
himself. The initiator makes a melee attack inflicting
an additional 8d6 points of damage; additionally an
ally within 10-ft. of the initiator that he chooses may
immediately make a move action as if i t
were a free action taken on the initiators
turn.",5,icons/svg/pawprint.svg
